%C3%89gypte	Q79
%C3%89mirats_arabes_unis	Q878
%C3%89quateur_(pays)	Q736
%C3%89rythr%C3%A9e	Q986
%C3%89tats_f%C3%A9d%C3%A9r%C3%A9s_de_Micron%C3%A9sie	Q702
%C3%89tats-Unis	Q30
%C3%89thiopie	Q115
%C3%8Eles_Marshall	Q709
Afghanistan	Q889
Afrique_du_Sud	Q258
Albanie	Q222
Alg%C3%A9rie	Q262
Allemagne	Q183
Andorre	Q228
Angola	Q916
Antigua-et-Barbuda	Q781
Arabie_saoudite	Q851
Argentine	Q414
Arm%C3%A9nie	Q399
Australie	Q408
Autriche	Q40
Azerba%C3%AFdjan	Q227
B%C3%A9nin	Q962
Bahamas	Q778
Bahre%C3%AFn	Q398
Bangladesh	Q902
Barbade	Q244
Belgique	Q31
Belize	Q242
Bhoutan	Q917
Bi%C3%A9lorussie	Q184
Birmanie	Q836
Bolivie	Q750
Bosnie-Herz%C3%A9govine	Q225
Botswana	Q963
Br%C3%A9sil	Q155
Brunei	Q921
Bulgarie	Q219
Burkina_Faso	Q965
Burundi	Q967
C%C3%B4te_d%27Ivoire	Q1008
Cambodge	Q424
Cameroun	Q1009
Canada	Q16
Cap-Vert	Q1011
Chili	Q298
Chine	Q148
Chypre_(pays)	Q229
Colombie	Q739
Comores_(pays)	Q970
Cor%C3%A9e_du_Nord	Q423
Cor%C3%A9e_du_Sud	Q884
Costa_Rica	Q800
Croatie	Q224
Cuba	Q241
Danemark	Q756617
Djibouti	Q977
Dominique_(pays)	Q784
Espagne	Q29
Estonie	Q191
Fidji	Q712
Finlande	Q33
France	Q142
G%C3%A9orgie_(pays)	Q230
Gabon	Q1000
Gambie	Q1005
Ghana	Q117
Gr%C3%A8ce	Q41
Grenade_(pays)	Q769
Guatemala	Q774
Guin%C3%A9e	Q1006
Guin%C3%A9e_%C3%A9quatoriale	Q983
Guin%C3%A9e-Bissau	Q1007
Guyana	Q734
Ha%C3%AFti	Q790
Honduras	Q783
Hongrie	Q28
Inde	Q668
Indon%C3%A9sie	Q252
Irak	Q796
Iran	Q794
Irlande_(pays)	Q27
Islande	Q189
Isra%C3%ABl	Q801
Italie	Q38
Jama%C3%AFque	Q766
Japon	Q17
Jordanie	Q810
Kazakhstan	Q232
Kenya	Q114
Kirghizistan	Q813
Kiribati	Q710
Kowe%C3%AFt	Q817
Laos	Q819
Lesotho	Q1013
Lettonie	Q211
Liban	Q822
Liberia	Q1014
Libye	Q1016
Liechtenstein	Q347
Lituanie	Q37
Luxembourg_(pays)	Q32
Mac%C3%A9doine_(pays)	Q221
Madagascar	Q1019
Malaisie	Q833
Malawi	Q1020
Maldives	Q826
Mali	Q912
Malte	Q233
Maroc	Q1028
Maurice_(pays)	Q1027
Mauritanie	Q1025
Mexique	Q96
Moldavie	Q217
Monaco	Q235
Mongolie	Q711
Mont%C3%A9n%C3%A9gro	Q236
Mozambique	Q1029
N%C3%A9pal	Q837
Namibie	Q1030
Nauru	Q697
Nicaragua	Q811
Niger	Q1032
Nigeria	Q1033
Norv%C3%A8ge	Q20
Nouvelle-Z%C3%A9lande	Q664
Oman	Q842
Ouganda	Q1036
Ouzb%C3%A9kistan	Q265
P%C3%A9rou	Q419
Pakistan	Q843
Palaos	Q695
Panama	Q804
Papouasie-Nouvelle-Guin%C3%A9e	Q691
Paraguay	Q733
Pays-Bas	Q29999
Philippines	Q928
Pologne	Q36
Portugal	Q45
Qatar	Q846
R%C3%A9publique_centrafricaine	Q929
R%C3%A9publique_d%C3%A9mocratique_du_Congo	Q974
R%C3%A9publique_dominicaine	Q786
R%C3%A9publique_du_Congo	Q971
R%C3%A9publique_tch%C3%A8que	Q213
Roumanie	Q218
Royaume-Uni	Q145
Russie	Q159
Rwanda	Q1037
S%C3%A9n%C3%A9gal	Q1041
Saint-Christophe-et-Ni%C3%A9v%C3%A8s	Q763
Saint-Marin	Q238
Saint-Vincent-et-les-Grenadines	Q757
Sainte-Lucie	Q760
Salomon_(pays)	Q685
Salvador	Q792
Samoa	Q683
Sao_Tom%C3%A9-et-Principe	Q1039
Serbie	Q403
Seychelles	Q1042
Sierra_Leone	Q1044
Singapour	Q334
Slov%C3%A9nie	Q215
Slovaquie	Q214
Somalie	Q1045
Soudan	Q1049
Soudan_du_Sud	Q958
Sri_Lanka	Q854
Su%C3%A8de	Q34
Suisse	Q39
Suriname	Q730
Swaziland	Q1050
Syrie	Q858
Tadjikistan	Q863
Tanzanie	Q924
Tchad	Q657
Tha%C3%AFlande	Q869
Timor_oriental	Q574
Togo	Q945
Tonga	Q678
Trinit%C3%A9-et-Tobago	Q754
Tunisie	Q948
Turkm%C3%A9nistan	Q874
Turquie	Q43
Tuvalu	Q672
Ukraine	Q212
Uruguay	Q77
Vanuatu	Q686
Venezuela	Q717
Vi%C3%AAt_Nam	Q881
Y%C3%A9men	Q805
Zambie	Q953
Zimbabwe	Q954